,Anger_Input,Sadness_Input,Fear_Input,Joy_Input,Disgust_Input,userId,username,userGroup,userLoginTime,inputTime,inputText,word_count,website,emoji,polarity,subjectivity
47,0.015355233,0,0.000968151,0.048804086,0.032375743,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-23-10-00-00,dont worry i got it,5,,[],0,0
49,0.113331106,0.051335106,0.09295857,0.046523993,0.102038864,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-09-00-00,yep still good if u r i need blood tests done in the morning but that t take long how s sound,22,,[],0.35,0.466666667
51,0.000765239,0.000690157,0.009832443,0.051918174,0.006586827,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-09-00-00,perfect c u there grinning face with big eyes,9,,[],0.5,0.55
53,0.040241013,0.004681602,0.008627444,0.06938104,0.040126883,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-17-00-00,cool i book the of us in for that night and then see if there s anyone else ur interested in,21,,[],0.3,0.575
55,0.025406879,0.001928101,0.019329821,0.055872985,0.039772028,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-17-00-00,also planning on tripping to weekend after easter if ur in,11,,[],0,0
57,0.005782489,0.01495558,0.012190107,0.060592896,0.010548519,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,its only part time which will be a good way to not get overwhelmed too quickly too,17,,[],0.344444444,0.7
59,0.00876354,0.002690331,0.002435832,0.020545609,0.010067219,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,days is definitely enough for me at the moment,9,,[],0,0.5
61,0.004648363,0.001050752,0.001666709,0.02264933,0.006903089,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,it will just be a matter of how my money holds,11,,[],0,0
63,0.032917025,0.006472035,0.043356512,0.142029078,0.035996929,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,thanks yep its exciting,4,,[],0.25,0.5
65,0.006345238,0.001603145,0.015581363,0.093238252,0.015667894,19g68kmexzx6y,colony57552,Keyboard,2021-03-19-00-36-15,2021-03-25-21-00-00,that sounds great,3,,[],0.8,0.75
67,0.078851858,0.177776166,0.249466308,0.000428602,0.071762955,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-19-11-00-00,quite unwell after food poisoning last night,7,,[],0,0.066666667
69,0.040936279,0.139161575,0.100862991,0,0.032462542,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-19-17-00-00,awoke unwell rested with until carer noon,7,,[],0,0
71,0.032949376,0.059389833,0.079075431,0.027978005,0.028102947,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-20-11-00-00,quite morning with hub and miss e bathing caffeine,9,,[],0,0
73,0.081974667,0.13069618,0.194704029,0.002531326,0.062260878,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-20-17-00-00,home housework family lunch grill sinus with mess,8,,[],-0.175,0.175
75,0.000104519,0,0,0.049658077,0.00118455,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-21-14-00-00,from yday late rising shop with j e,8,,[],-0.3,0.6
77,0.099756201,0.075898152,0.145537256,0.033821484,0.081969877,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-21-22-00-00,family day hunting grocery shopping and loads of rain and constant storm warnings without storms,15,,[],0,0.333333333
79,0.035100243,0.006343628,0.022786642,0.025318505,0.018103818,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-21-22-00-00,will tomorrow be a repeat as forecasted,7,,[],0,0
81,0.089261259,0.08868584,0.149762118,0.014736706,0.073875607,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-22-11-00-00,crazy time testing cleaner phone calls non stop rain,9,,[],-0.6,0.9
83,0.043351213,0.076037392,0.06402229,0.022989667,0.043302295,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-23-09-00-00,breakfast rash e into cab plodding massive rain,8,,[],-0.15,0.8
85,0.034286189,0.01587664,0.087089571,0.033608774,0.037478278,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-23-17-00-00,crazy woke late breakfast lunches rush to aqua jeff being insane with karaoke,13,,[],-0.633333333,0.833333333
87,0.05173723,0.00452009,0.022065419,0.102644382,0.027977887,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-23-21-00-00,aqua am jeff sang outing with training collecting easter gifts conversation re easter whole dinner fought,16,,[],0.2,0.4
89,0.143666273,0.123615727,0.167495238,0.004230753,0.111928332,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-25-09-00-00,s yday discovery s broke there expenses commitments es teeth being to this blowing our situation a mess,18,,[],-0.175,0.175
91,0.005706085,0.002095514,0.010584647,0.047374273,0.008471145,19g68kmeznv66,apple41756,Frank,2021-03-19-01-25-32,2021-03-25-13-00-00,not communicating still after talked me threw everything stressed over the but better than up today,16,,['cat'],0.5,0.5
93,0.000566288,0.000771964,0.005674503,0.076634715,0.006513434,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-20-02-00-00,broccoli is my favorite food grinning face with big eyes,10,,[],0.25,0.55
95,0.008286679,0.002797555,0.025714665,0.052691088,0.019937562,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,if you re bored i could totally do with some help at school grinning face with big eyes,18,,[],-0.166666667,0.616666667
97,0.071600799,0.016249664,0.054209991,0.009815904,0.066431498,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,are you using thingy over the next grinning face with big eyes,12,,[],0,0.05
99,0.025156075,0.008352856,0.038157492,0.019479287,0.027528797,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,unless you come set up post office whilst i,9,,[],0,0
101,0.002699133,0.003277865,0.0245895,0.067553577,0.01850892,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,i am at now grinning face with big eyes,9,,[],0,0.1
103,0.013501999,0.003470473,0.031736337,0.019751936,0.029127278,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,feel ya grinning face with big eyes,7,,[],0,0.1
105,0.02501554,0.00212556,0.015833027,0.050333349,0.015974287,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,then i will tidy and set up post,8,,[],0.6,0.8
107,0.053376474,0.050483953,0.073169184,0.015418603,0.030829409,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,need to set up post office,6,,[],0,0
109,0.020781532,0.00140498,0.014624735,0.043233104,0.020589043,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-17-00-00,u could do that whilst i,6,,[],0,0
111,0.019431143,0.006288485,0.042050775,0.030049235,0.023073907,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,try get as much done at school as i can grinning face with big eyes,15,,[],0.1,0.15
113,0.006418919,0.002295083,0.01404495,0.138051068,0.019720929,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,going to a friends place in an hour,8,,[],0,0
115,0.005339358,0.000956471,0.007707146,0.097789425,0.016316096,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,pilot house for a swim with doggos,7,,[],0,0
117,0.050415669,0.018897675,0.012794303,0.002238881,0.028086079,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,that number thing i set up for,7,,[],0,0
119,0.026032125,0.003315472,0.032519898,0.105269065,0.037037581,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,got roads cars and parcel bags,6,,[],0,0
121,0.152282338,0.158259739,0.145146227,0,0.089721818,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-18-00-00,i have to go to school,6,,[],0,0
123,0.005429764,0.035545938,0.013560403,0.032720222,0.009617949,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-19-00-00,just leaving school now and i shall be over,9,,[],0,0
125,0.00226702,0.002759467,0.022810463,0.057238736,0.016896429,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-19-00-00,grinning face with big eyes,5,,[],0,0.1
127,0.003179865,0.000159762,0.005449223,0.060199,0.00802094,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-19-00-00,little more neat,3,,[],0.15625,0.5
129,0.072921487,0.064668253,0.089824126,0.009474641,0.047280417,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,today was busy still have planning to do for the week and i m waiting for my coles order dinner,20,,[],0.1,0.3
131,0.033741341,0.165779763,0.034903483,0.140785733,0.046781492,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,red heart selector red heart selector red heart selector red heart selector,12,,[],0,0
133,0.034971011,0.018730243,0.052690251,0.025983472,0.03267025,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,post office will need paper and bubble wrap added and a satchel for the,14,,[],0,0
135,0.02668434,0.00633332,0.05861717,0.027363222,0.027080257,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,or i might add my balls or an alphabet match,10,,[],0,0
137,0.017631762,0.00237961,0.019969483,0.056360688,0.026242289,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,pens and the labels are there for the to up,10,,[],0,0
139,0.028737203,0.005358064,0.016248558,0.006068704,0.020904561,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,the other tray i will think of,7,,[],-0.125,0.375
141,0.051833397,0.048648857,0.063883917,0.007648839,0.040728954,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,was at am and i slept in till,8,,[],0,0
143,0.039116926,0.029090842,0.077076665,0.026823095,0.033990066,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-20-00-00,t get a pic sorry,5,,[],-0.5,1
145,0.0296256,0.17888292,0.070347473,0.004054575,0.030631313,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-21-22-00-00,how did luke go,4,,[],0,0
147,0.08464351,0.11546669,0.055112471,0,0.047149268,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-09-00-00,just on my way to school now,7,,[],0,0
149,0.013481638,0.003612149,0.02242826,0.057682273,0.020502432,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-16-00-00,going to head early today,5,,[],0.1,0.3
151,0.041978331,0.044506436,0.068475151,0.012017669,0.036284206,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-17-00-00,i leave here at,4,,[],0,0
153,0.031375964,0.003809506,0.041107563,0.055975326,0.036390882,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-18-00-00,well i think i can take them to the jungle park at holmes,13,,[],0,0
155,0.012521755,0.006943294,0.024577085,0.03152421,0.006483697,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-18-00-00,are you coming to wash pups and walk with me,10,,[],0,0
157,0.033391693,0.001623784,0.019702148,0.042047815,0.04291368,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-18-00-00,yeah then i can go to dirty bit,8,,[],-0.6,0.8
159,0.039236553,0.159204866,0.048127965,0,0.032395479,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-18-00-00,it has been a day,5,,[],0,0
161,0.022784564,0.00449755,0.042991609,0.105242043,0.027740749,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-20-00-00,how exciting bound,3,,[],0.3,0.8
163,0.004355734,0.001627979,0.008300324,0.125648961,0.016545345,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-22-22-00-00,hi would like to have a chat with me and you tomorrow after school does this work for you,19,,[],0,0
165,0.010800527,0.046489648,0.020512685,0.115987988,0.009546857,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-23-19-00-00,in a big blue car,5,,[],0,0.1
167,0,0,0,0.051407824,0,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-23-20-00-00,i will call u when i am home,8,,[],0,0
169,0.037979945,0.088489002,0.088028078,0.013716563,0.033563386,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-23-20-00-00,damn i finish training at,5,,[],0,0
171,0.00226702,0.002759467,0.022810463,0.057238736,0.016896429,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-13-00-00,grinning face with big eyes,5,,[],0,0.1
173,0.00693213,0,0.001274642,0.137248297,0.020618292,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-13-00-00,love you well done,4,,[],0.5,0.6
175,0.008205445,0.004410028,0.032235522,0.080282324,0.014320616,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-18-00-00,possibly yes please grinning face with big eyes,8,,[],0,0.55
177,0.00226702,0.002759467,0.022810463,0.057238736,0.016896429,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-18-00-00,grinning face with big eyes,5,,[],0,0.1
179,0.048641115,0.043649367,0.05955128,0.005375797,0.041231653,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-18-00-00,is this still available,4,,[],0.4,0.4
181,0.026540539,0.044906904,0.03366106,0.021745463,0.025333843,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-19-00-00,spending all your money basically,5,,[],0,0
183,0.046288569,0.028211207,0.073453893,0.048672009,0.036701993,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-19-00-00,booking cleaning soon,3,,[],0,0
185,0.017561633,0.003272627,0.031819508,0.098582713,0.026760081,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-19-00-00,washing machine fixed,3,,[],0.1,0.2
187,0.000835185,0,0.001772909,0.02779142,0.005729196,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-19-00-00,you in fancy zones,4,,[],0,0
189,0.183152835,0.036155596,0.0658301,0.006516287,0.124812627,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-20-00-00,yeah if i have work they can put in their portfolio folders but not their portfolio ones,17,,[],0,0
191,0.007381663,0,0.001927248,0.010155906,0.010658922,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-21-00-00,i want them to write whatever they want,8,,[],0,0
193,0.024817439,0.000764222,0.002628437,0.033401699,0.017282337,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-21-00-00,we did it with lighthouses like,6,,[],0,0
195,0.073306029,0.036463371,0.017961085,0.003074338,0.038261996,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-21-00-00,like they draw their own thing,6,,[],0.6,1
197,0.087406744,0.02632836,0.021051839,0.006852939,0.06116014,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-21-00-00,they suck at directed,4,,[],0,0
199,0.04140295,0.013657219,0.007693014,0.010879487,0.029556055,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-24-21-00-00,i will pass then,4,,[],0,0
201,0.037950802,0.076389223,0.037110183,0.002279795,0.023065978,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-09-00-00,i mean what should you do,6,,[],-0.3125,0.6875
203,0.026886751,0.00848409,0.017615664,0.058753864,0.023459836,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-09-00-00,i just decided to keep my,6,,[],0,0
205,0.067551186,0.277862631,0.114077361,0.000710033,0.056632096,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-12-00-00,it is hard to get everyone aware of turn news,10,,[],-0.020833333,0.395833333
207,0.01015707,0.011859782,0.071451643,0.02872849,0.031315273,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-12-00-00,did they have suits,4,,[],0,0
209,0.070499129,0.375495301,0.160709155,0.002585593,0.067144869,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-12-00-00,awe sorry to hear,4,,[],-0.5,1
211,0.100362616,0.00951653,0.008435819,0.008229565,0.067504154,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-15-00-00,find a seat i said,5,,[],0,0
213,0.017471148,0,0.002502273,0.041526947,0.027778195,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-16-00-00,bring in a bottle of soft drink,7,,[],0.1,0.35
215,0.092997081,0.140980526,0.186689138,0.013650746,0.071468522,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-22-00-00,so how do i figure out how hard i need to study for the next one,16,,[],-0.145833333,0.270833333
217,0.011505315,0,0.001015043,0.037995179,0.023243736,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-22-00-00,shall i come pick u up in the morning,9,,[],0,0
219,0.024745725,0.03836974,0.015254784,0.002384812,0.017982855,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-25-22-00-00,have to stay i mean,5,,[],-0.3125,0.6875
221,0.010265687,0.006535458,0.055551892,0.055507179,0.024326357,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-26-13-00-00,oh grinning face with big eyes,6,,[],0,0.1
223,0,0.00198644,0.003150904,0.057245116,0.00052271,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-26-16-00-00,but the need to see you is greater,8,,[],0.5,0.5
225,0.041734501,0.040652891,0.080784971,0.017410096,0.032326696,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-26-16-00-00,maybe i just do some school stuff,7,,[],0,0
227,0.024962919,0.011838715,0.088624422,0.030361257,0.028651612,19g68kmgfsjin,signal72380,Keyboard,2021-03-20-01-45-45,2021-03-26-16-00-00,is doing a drinks thing tonight,6,,[],0,0
229,0.003052681,0.000907033,0.007729198,0.12230406,0.009271151,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-09-00-00,had breakfast with my toddler on the mat while the baby rolled around beside us,15,,[],0,0
231,0.020609642,0.01595215,0.063323467,0.055718951,0.024387608,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-09-00-00,nothing different looking after both kiddies while hubs is,9,,[],0,0.6
233,0.114275083,0.177613001,0.119555178,0.001247801,0.108733031,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-21-00-00,a lost found its way to our home a few weeks back and we never found its owners so we re now stuck with a pet vet said they d put it down if we brought it in it is the little creature,43,,[],-0.135763889,0.222222222
235,0.029087495,0.050423102,0.075291794,0.020295702,0.021866342,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-21-00-00,i m super sleep with baby feeding over night and i been stressed about maintaining milk supply since going back to work so i m also up pumping,28,,[],0.166666667,0.333333333
237,0.030162964,0.00615632,0.041431788,0.106329397,0.030762811,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-21-00-00,went grocery shopping with the family it was good to get out of the house for something other than work,20,,[],0.2875,0.4875
239,0.009133314,0.001219211,0.011710183,0.177115378,0.027356909,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-21-00-00,did some craft today for my daughter to play with she enjoyed it much more than i d so that was nice,22,,[],0.533333333,0.733333333
241,0.235212981,0.091819919,0.129749707,0,0.173041117,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-21-00-00,hes always screeching and singing in a really high pitched voice which drives me nuts,15,,[],0.16,0.54
243,0.064489287,0.266115525,0.152635634,0.00657936,0.061154987,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-21-00-00,ended up moving the to a separate room temporarily and feeling a bit guilty about it,16,,[],-0.5,1
245,0.082501447,0.213912764,0.190672406,0,0.070268358,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-22-21-00-00,i feel so exhausted and i been feeling quite triggered by the high pitched sounds,15,,[],-0.12,0.62
247,0.050115189,0.237167173,0.105976794,0.000705591,0.047437494,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-23-21-00-00,i m not that close to her but i know she s on disability and struggling with money so i treated her free of charge but i still feel so guilty about how it s turned out,37,,[],-0.05,0.9
249,0.057170743,0.256206933,0.129416427,0.00453824,0.054431111,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-23-21-00-00,also feeling guilty because was closed so my husband was at home with both on his own all day feeling,20,,[],0,0.7
251,0.081043408,0.35526135,0.165281469,0.000808566,0.076598068,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-23-21-00-00,she had no other option but i feel with guilt because i m not sure she was mentally prepared for it,21,,[],-0.095833333,0.487962963
253,0.066806278,0.242870335,0.157848941,0.010770797,0.063732161,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-23-21-00-00,feeling a bit guilty actually a friend came in for help and things t go as expected,17,,[],-0.2,0.5
255,0.056172613,0.048190595,0.064797961,0.008711236,0.044526504,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-23-21-00-00,i was just expecting to give her a clean she ended up needing an extraction,15,,[],0.366666667,0.7
257,0.042425612,0.185242658,0.08460181,0.003912802,0.040203551,19g68kmhum5mf,system67711,Frank,2021-03-21-01-32-40,2021-03-23-21-00-00,a friend came in with some pain,7,,[],0,0
